,Longitude,Latitude,Landmark
0,103.8303209,1.2494041,Gardens by the Bay
1,103.8636132,1.2815683,Marina Bay Sands Singapore
2,103.8607526,1.2833965,Clarke Quay
3,103.8467181,1.2881554,Boat Quay
4,103.8496039,1.286609,Robertson Quay
5,103.8373696,1.2913414,Hong San See Temple
6,103.8408622,1.293284,Buddha Tooth Relic Temple
7,103.8445218,1.2813361,Orchard Road
8,103.8380766,1.301674,Singapore Botanic Gardens
9,103.8159136,1.3138397,Pokémon
10,103.9891197,1.3598078,Jewel Changi Airport
11,103.9894983,1.3596424,Merlion
12,103.8545014,1.2867892,Siloso Beach
13,103.8133333,1.2533333,Tanjong Beach
14,103.8293833,1.2417001,ION Sky
15,103.831767,1.304052,Emerald Hill Road
16,103.839546,1.3036696,East Coast Park
17,103.9121866,1.3007842,MacRitchie Reservoir
18,103.8223506,1.3447621,TreeTop Walk
19,103.8125215,1.3607287,Mount Faber Park
20,103.8174964,1.2737864,The Istana
21,103.8434067,1.2994688,Masjid Sultan
22,103.8592161,1.3018439,Sri Veeramakaliamman Temple
23,103.8522345,1.3079983,Fort Serapong
24,103.834075,1.250458,Mount Serapong
25,103.8338889,1.2508333,Makansutra Gluttons Bay
26,103.8568863,1.2895026,Satay by the Bay
27,103.8685936,1.2823359,Hong Kong Soya Sauce Noodle
28,103.8429582,1.2830967,ION Orchard Mall
29,103.8319701,1.3039937,The Good Beer Company
30,103.7840697,1.2915407,Smith Street Taps
31,103.8430923,1.2825863,Singapore Visitor Centre
32,103.838816,1.3016419,Bukit Timah Nature Reserve
